user,tweets,location
KVishalKumar007,"#StudentsDislikePMModi
The present situation of all the politicians who betrayed us and all news channel suporting… https://t.co/RPtUBVg2wV","Bengaluru South, India"
vlog_abhishek,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/0dvYQbUhOy","rajasthan, jaipur"
kushnoor1,"When we decided to fight for postponment of #JEENEET there is no one to support us.

•We make telegram groups 
•We… https://t.co/ZoHolyuVVv","Bihar, India"
yadavhitesh960,"This is a Digital Surgical Strike by Students 
#PostponeJEEAndNEET #NEETJEE #JEENEET https://t.co/i6G0HApUuP","Rajasthan, India"
11Petitioners,"When we decided to fight for postponment of #JEENEET there is no one to support us.

•We make telegram groups 
•We… https://t.co/yMdC4xZTOV",
BPSA_DIRECTOR,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/4jBhIAWqU3","Bihar, India"
charitha_15,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/lN2UsG2ibU",
11Petitioners,"Everyone who joined this students protest have must be seeking some personal benefits

Few for fame
Few for followe… https://t.co/mISqPm6P5L",
vsdhanvijay_672,"Im not a Supporter of #Congress  or any other party ,
I support only Right one ,

But I will never ever Give vote t… https://t.co/mVH86GZFHb",Chan teh Kothi paayi ah ajo
JagranEnglish,"#NEETJEE2020 | Here are some of the most common FAQs answered related to the entrance exams

#JEENEET 

https://t.co/MRKgCjfqkD","New Delhi, India"
NEETPrep,The step to conduct exam is a harsh one but in future they might come up with some alternatives to help students.… https://t.co/qMOMxQstCD,"New Delhi, India"
Lovely65622940,@KanganaTeam @TwitterIndia @jack @TwitterSupport @KanganaTeam i think u must see wht is trending in twitter student… https://t.co/Qf3sREaGFN,
HiteshMalav9,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/4YS0z2RbpI","PLANET EARTH, MILKYWAY GALAXY"
NSUINagaland,"90% of the audience disliked Narendra Modi's #MannKiBaat video.,
This is the beginning, if the #JEENEET examination… https://t.co/OOxz4lDDqM",Nagaland
Madhuri03893180,@MamataOfficial Mam plz say something about #jeeneet exms... Please postpone... U r our last hope🙏😭. U can understa… https://t.co/TUi1E8Wcqc,"West Bengal, India"
PushpsingP,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/XztokkPem3","Dombivli, India"
hema_lakhera,#StudentsDislikePMModi 95 percent students want #JEENEET to get postpone.but acc to @DrRPNishank SILENT STUDENTS ar… https://t.co/tm2kKTvnVe,
Ashish1999mani,"@DrRPNishank @DG_NTA @narendramodi @PMOIndia @MoHFW_INDIA 
Namaskar everyone,I request everyone to please watch thi… https://t.co/vltCxNpzTz","Motihari, India"
I_amkrish007,"Faith on 

1 . Democracy 
2 . Judiciary 
3 . Government
4 . Media

is officially over . 

Your life is precious onl… https://t.co/cclLZtjDLF","Kolkata, India"
Malishka1111111,"@AISA_tweets @DrRPNishank @narendramodi I downloaded Dr. Pokhrial's picture
That means he has to follow my order😂😂… https://t.co/BuvsuYR24E",
meghakundu462,"GIVE VIEWS TO THOSE TALENTS WHO DESERVE AND NOT NEPO KIDS
#SSCdeclareCGLresult
#StudentsDislikePMModi
#SaveCinema… https://t.co/ZR1sBEFz40",
Ruma_shree,"Why always slamming the govt? The need of the hour requires funds, transport and sanitised classrooms to appear for… https://t.co/ziUsg4Jx41",
KarnSahu01,"Right now in #JEENEET aspirants mind

#RIP_POKHRIYAL 
#StudentsDislikePMModi https://t.co/JuaNJoHcHU",
DeepakB74363340,"Stay negative.... postive to aaj kl corona kay cases v bahut  aa rahy hy ..
Bakki kl kay leay best of luck 
#JEEMain2020 
#JEENEET",
BharathyBilla,"Physics 200
Chemistry 199
Biology 194
If your Education rejected her Medical sheet!
Than how to sustain! That's why… https://t.co/Ylpq0wLRA8",
CareerPick,NTA to conduct JEE Main 2020 from tomorrow (September 1-6) ; check guidelines and instructions at… https://t.co/XeXPHyYO4a,
gopu2002,"@Swamy39 
Swami your last words on #JEENEET  case please will it get postponed or not
😳😳😳😳😳😳",
aniketcfc,Only @AMISHDEVGAN is foolish enough to compare opening liquor shops &amp; conducting exams. I'll tell you who's running… https://t.co/8TpUF48qc7,
HarshitaKhushi3,"Afterall, we live in a country where dislikes are removed and fake followers are added.
Also, the comment section i… https://t.co/L9Q4bQm15y",
MohitTerway,Government is not worried about an academic year loss of #JEENEET they are concerned about the money they can gener… https://t.co/gnbhsILOCl,"New Delhi, India"
suvikhya,"Hm #JEENEET students k liye b kuch krwa do sir plzzz😩😩😩
#JEE_NEETcanWAIT https://t.co/I34lZLsfBy",Why?
Rajeevv06622730,"@TheLallantop 80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Min… https://t.co/gLm2xzQG7S",
Ruma_shree,The opposition parties has found a new 'foul game' to play with by extending their artificial support to #JEENEET s… https://t.co/FKSnFm3jry,
DEVENDR38178424,"Ya I think so not only shivsena , Everyone is playing politics. But don't worry they are digging hole for themselve… https://t.co/vRv8Cv5ajm",
vanshik72539935,@Kartik52545846 @ajay_amirtharaj @advocate_alakh Pray for #JEENEET postponment if by any -0.00000001 % it gets postponed I will tell you,
Varunraj_n,"WHERE ARE THE CMs?????🙂🙂🙂🙂🙂
#JEENEET #postponeNEETandJEE","Mumbai~Jalgaon,Maharshtra"
Malishka1111111,"@PMOIndia You won't be forgiven if anything happens to us
We will remember it always, every vote counts

Please pos… https://t.co/4u07mpnorY",
golukum59660846,"Things PM 
@narendramodi
 did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dog… https://t.co/3BqbXGgSkF",
rajeevclasses,"In this live session, Rajeev Sir will help you to revise all class 12 physics formula which can help you to crack J… https://t.co/4IwBSrBd2g","Ballygunge, Kolkata"
Deoxyribose15,"@CMOMaharashtra @Maha_MEDD I think postponing exams should be a quick decision.......
#jeeneet… https://t.co/iYVMOvjvrb",
MudhiMixture,#MMReads |  The recent furore over the Centre’s approval to go ahead with the #JEE Mains and #NEET examination was… https://t.co/9qddvxkq4f,"Orissa, India"
Arungothwal81,"Things PM 
@narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/pLiJYz90kg","jaipur, rajasthan"
Ruma_shree,What kind of ruthless tweets are this? First have an ear on how your so called leader @asadowaisi discriminate and… https://t.co/jA592SmIdM,
10_x_AB,"People who voted for postponement of #JEENEET in some politicians n journalists polls on Twitter, I am 100% sure th… https://t.co/VYC6vu4ahz", India
sharan2820,"This proves that people with fake degrees should not be given important positions in the government.  

You are not… https://t.co/6dIwvwrvhD",
horcrux_888,"#StudentsDislikePMModi
All The Best!!#JEENEET Government is Cruel!!! It's lesson for us that this Government is tot… https://t.co/yLMa99BGTT","Amravati, India"
sssamsaad,"@MamataOfficial @FirhadHakim plz save the #JEENEET students🙏🏻 
#StudentsDislikePMModi #StudentsHatesMrModi ,Plz postpnd #JEE_NEET ..",India
Shayantan_kr,When he can't attend his own farewell then how he could allow 26 lakh students to give exam #JEENEET… https://t.co/C9rFc9OX1N,India
PramodS53202409,#JEENEET postponed jeeneet.. https://t.co/f63DrrH4Kk,
AbdulAk36328070,"After so many appeals and petitions, the government and the Supreme Court are not bothered about the safety of… https://t.co/U8rseNpbWE",Srinagar
bhanvi_p,@YourAnonCentral Yall should come through and hack NTA’s systems so that they can’t conduct #JEENEET 🥰❤️,
MohitTerway,Dear government Maybe you have secretly given the corona vaccine to #JEENEET student that's why taking their exams… https://t.co/NCANPlCfGX,"New Delhi, India"
AmberTiwari12,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/tT1TFnpGiV","Laxmipur, Jabalpur"
shwetabh_1998,#StudentsDislikePMModi #StudentsHatesMrModi #NON_COOPERATION_MOVEMENT #JEENEET #POSTPONEJEE_NEET… https://t.co/xtGt4tI2hM,
xyzButNotFake,"As I understand, he is saying :
If we postpone now, we'll surely have to postpone later since the cases are increas… https://t.co/B2eWL9NBRi",
trxshbuggz,"It's more like
DO OR DIE
situation now isn't it?
#Mann_Ki_Nahi_Student_Ki_Baat
#JEENEET
#StudentsLivesMatters",
Secularchacha2,"Participated in #nbe exam today. 
I felt that IT IS NOT SAFE TO CONDUCT EXAM now. 
I touched the #table #chair… https://t.co/2aZ37ZxBqM",
mrkunalydv,@Swamy39 Sir what happened regarding #jeeneet,
MondalZyasha,"When #JEENEET &amp; #UPSC_NDA #students' plight r kept unaddressed in this manner, with names such as""non-serious stude… https://t.co/KDiGu2W2vP",
SomyaSethi28,"Tomorrow is my exam and god forbid but if anything happens to me or my family bcz of this situation, then there wil… https://t.co/VX9a6TpVqS",
de_shetty,"I think its time to have quick meeting about #JEENEET 
#PmModiPrideOfIndia #StudentsHatesMrModi… https://t.co/G637lTEKuQ",Udupi Karnataka India
yadavsenabihar,"#PmModiPrideOfIndia , sorry BJP IT CELL , ye apka ke liye hoga 🙏🙏🙏 

Be aware students , REMEMBER he is not PRIDE ,… https://t.co/79Y2vRa9Id",
indiatvnews,"Lucknow: SP activists lathi-charged for protesting against JEE, NEET exams; police deployed

#JEENEET 

https://t.co/D6YdsaK4E1",India
Mayankumar,#boycotJEE If Govt is not even ready to have a dialogue with the students who have legit reasons to postpone the ex… https://t.co/TzGR7bp4B1,"Auckland, New Zealand"
10_x_AB,UPA led Or non NDA govt. CM's want to postpone #JEENEET but plans to conduct competitive exams and final year colle… https://t.co/ey0OIZYINB, India
has2912,Hope n wish he does not call back as we parents of genuine students want #JEENEET exams n want… https://t.co/MbdpGSxpYp,Mumbai
Adityajhaajphe1,"#PmModiPrideOfIndia
#Mann_Ki_Nahi_Student_Ki_Baat #PrashantBhushan #StudentsHatesMrModi 
 #SSCdeclareCGLresult… https://t.co/pe29u8CoVw","Varanasi, India"
marwadichhoro_,"10th or 12th board ke bachho ne exam diye.... 
Lekin usme sirf science maths wale jee mains..... De rhe hai.... Jab… https://t.co/uwXVXWRoAX",
BabumosaiM,"To support students share our post.
#JEENEET #POSTPONEJEE_NEET #cancelfinalyearexam #ExamsInCovidASuicide https://t.co/hhdXOUZSv4",
AmitVUpadhyay,"At such a time, is the exam assessment of children so important that they are being forced to sit for exams despite… https://t.co/hbX1cZd9m3","Mumbai, India"
mr_prufrock,Justice Arun Mishra refuses to attend his own farewell at the bar because of Covid. But he wants the #JEENEET exams… https://t.co/WSqomGBpE9,"Uttar Pradesh, India"
ArpanYadav13,"Instead of beautiful persons like @itsSSR &amp; @irrfank, God could have taken @DrRPNishank who is responsible for dest… https://t.co/piSn7YJlBQ","Bodhgaya, India"
Papu1003,"@MamataOfficial we need urgent action.our lives are at risk.speak up , where is your stand regarding #JEENEET .please mam 🙏🙏.",
Reshma90628465,"@Swamy39 Thank you for crusading for a noble cause. Sir, I sincerely hope that our troubles will be recognized and… https://t.co/0TNS9Cv1mI",
therowdykc,"Guys let's start to tag West Bengal cmo so that they can help us. 
@MamataOfficial
 mam help jee students...… https://t.co/Of1RUZF4SM",
Saimanrajs,"Physics 200
Chemistry 199
Biology 194
If your Education rejected her Medical sheet!
Than how to sustain! That's why… https://t.co/qp46RALt3c","Chennai, India"
Getmycolleges_,"All the best students 👍💖
don't panic, don't stress just give your best.
#mondaythoughts #MondayMotivaton… https://t.co/qHsRRzIcfe","Bhubaneswar, India"
PanekarSiddhant,"Last question

Do we lost the fight for #JEENEET postpone??

#StudentsDislikePMModi",
Aryan_Shukla_06,"Tomorrow we will get the 1st visual of failure of NTA's SOP once again. 
And how constrained we are. Even after see… https://t.co/unSlCtAOYY",
AbdulAz23847758,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/OsFX1n9cDU",
Anurag_haldkar,"Bjp ka case,Bjp ka advocate @advocate_alakh aur Bjp ka judge Arun Mishra bhi !!
Case toh haarna hi tha !!
Nothing i… https://t.co/INJ7bI8ygS","Katni,Madhya Pradesh, India"
ojhayogesh,Political Parties who are opposing #JEENEET confirm weather they are in favor of transparent selection of students… https://t.co/5HdslcOmpW,"Mumbai, India"
Sanju_Verma_,".@narendramodi gov's decision to hold #JEENEET,has support of students,parents&amp;academicians

During #Emergency in 1… https://t.co/9OggSTaMZ3","Mumbai, India"
Priyanka_1aug,"@CMOfficeUP @UPGovt @myogiadityanath supports to conduct #JEENEET exams in this corona crisis.. 
And the same… https://t.co/CiMeujQSZy",
connectwithms,Is the government forgetting that #JEENEET aspirants will mostly be first time voters during next elections?,
MufaddalTambaw1,"I AM JEE ASPIRANT I WANT TO GIVE EXAMS BECAUSE I STAY ALONE IN MY HOUSE I CANT WASTE MY HARDWORK !! 
@narendramodi… https://t.co/aIuUmwTgWM",India
Shubham05850471,Members of Samajwadi Party Chatra Sabha (student wing) lathicharged in Lucknow as they hold protest against… https://t.co/qLxy2YLY5T,
Nandiniiisinghh,Irrespective of the FATE of JEE/NEET exams I extend my best wishes to JEE/NEET student's. All the best guys. 🙂🙂🙂… https://t.co/NtQlG7vhkh,"Mumbai, India"
SyedaSanaFatim9,"@Swamy39 Sir @Swamy39 please give an update on #JEENEET. Is exams are going to postpone or not.
We cannot handle this mental stress more.",Hyderabad 
KhushiB32934206,@Swamy39 Sir??? Neither #CM's have taken any step to whom u have talk nor #PM has respond to this #JEENEET issue,
surathkal_nitk,"Further, when over 17 lakh students have downloaded the admit cards, we need to encourage and stand by their will.… https://t.co/b0OnVTfNZo","Srinivasnagar PO,DK, Karnataka"
surathkal_nitk,"We also recognise that the present times are uncertain and very stressful for various reasons, further delay in… https://t.co/gOMPVHd4Dj","Srinivasnagar PO,DK, Karnataka"
hariom_sanu,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/QJJcBpg5Oo",
SHREYAN41283648,"#StudentsHatesMrModi  
#StudentsDislikePMModi 
@advocate_alakh 
You are just making us fool and gaining name. He hi… https://t.co/hl9wiWUMIj",
kartikmishra__,No exam #NoMore_Neet #Mann_Ki_Nahi_Student_Ki_Baat #StudentsLivesMatters #JEENEET #jeeneetpostpone… https://t.co/dSXJ26Xrmx,"Raipur, India"
VaishaliRaghu12,@Swamy39 thanku so much sir for taking stand for neet and jee aspirants #Mann_Ki_Nahi_Student_Ki_Baat… https://t.co/lPLpJzLK8a,"Himachal Pradesh, India"
ShettyMahin,@DrRPNishank : We're taking all possible measures to ensure the safety of the students who are going to give the… https://t.co/jyFFiScIRK,
DasAbhilekha,A bjp bhakt betrayed us by representing our petition for postponement. I literally have no words. Now I know why th… https://t.co/M15EzsfxbM,
UmarSadat23,@Prateek48306957 @advocate_alakh betrayed students he fought #JEENEET case we lost he fought #ugc case we lost boyc… https://t.co/ABlnJAmqvC,🏠🏡🏢
rav26051,"This time you are pushing a wrong demand Mr @Swamy39 

Don't play with lives and aspirations of lakhs of students!… https://t.co/C5tyGwQ4iG","New Delhi, Bharat "
Adarshs87970757,"@11Petitioners @anubha1812 
What happen to those CMs who were going to announce on monday regarding #JEENEET exam p… https://t.co/1SlL8YJ5YN",
