user,tweets,location
dhantantan,#IndianMedia plse focus on #JEENEET #Coronavirus #coronainindia #economy #EconomicCrisis &amp; put pressure on… https://t.co/DPJPk2PdL4,Why Do You Want
IITKgp,"Congratulations @IITKgp alumni @imbesatahmad and @iShahidSalman, innovators and co-founders of Filo app developed f… https://t.co/c6187A4mVZ","Kharagpur, West Bengal, India"
urban_lens,"Poll of the day with interesting outcome supporting #JEENEET postponement.
@saahilmenghani 
@Manisha_Ahlawat… https://t.co/3r35T7McOX",India
AnupKochhar,"Honorable Sirs 
Please open Delhi Metro for JEE NEET  candidates.@ArvindKejriwal, @msisodia @LtGovDelhi… https://t.co/K5hJgMmCvD","New Delhi, India"
AZIM17_M,"#Chushul
#pangongtso #PanautiPM #laddakh
#IndiaChinaFaceOff #IndiaChinaBorderTension 
#indiachinastandoff 
#JEENEET… https://t.co/fQkWD3eP9s","New Delhi, India"
NewsJ1964,"Looks like #China is very angry at the fine imposed on #PrashantBhushan by the Supreme Court

Or is it #JEENEET exa… https://t.co/umppFFHlUG","Mumbai, India"
being_veracious,"According to @IndiaToday ndiaToday Survey, 80% of the people who disliked Modi Ji's Mann ki Baat video are satisfie… https://t.co/WUHR3n0iGq",
NihirKumar1,"The media will never show your pain, they are too busy spreading propaganda through their prime-time debates. Wear… https://t.co/zevnCMUdUM",
ixmprateek,"Now we know the cons of giving such a majority to a SINGLE PARTY. 
An alliance govt will never take such INSENSITIV… https://t.co/oMgavjLpO0","Assam, India"
mdhamidullah24,"#StudentsDislikePMModi
#StudentsHatesMrModi 
#jeeneetpostpone 
#JEENEET 
It's just a tight slap on the faces of the… https://t.co/qotAA342j5",JAMSHEDPUR
ShrutiG19818159,@CMOMaharashtra @Maha_MEDD @CMOMaharashtra please invoke DMA act and epidemic and stand with us for postponing… https://t.co/Hu28SgMDmq,
AnIndia65751222,"Bhakto kaise ho saalo !!!? 
Exam dene jaao..
fir #berojgar ban jaana q ki anpdh PM #Modiji jobs to vaise bhi dene w… https://t.co/U8ny6QrImS",India
DhanrajDubey5,"https://t.co/QkqsQiuwXd
@BBCWorld IS SAYING THIS NEWS AND @EduMinOfIndia @DG_NTA  ARE BUSY CONDUCTING #JEENEET RISK… https://t.co/uiU1CCbSnj",
Mohit83834632,"Waiting for @Swamy39  @narendramodi 
For #JEENEET 
Help Leader",
018_sahil,"@IMinakshiJoshi #jeeneetexams must be conducted, unse pucho jo lakho rupee fee pay krke exam ka wait karte hai... 1… https://t.co/KOQTPNDVaX",
whoak_Bhosale,"So who is going for JEE tomorrow ?
#JEENEET","Mumbai, India"
alap003319,"JEE-NEET: Facts Vs Propaganda: 
#JEENEET 
#dontpostponeNEETandJEE 
https://t.co/CO0Uj5Gddf via @eOrganiser",
Yuv__Raj,"Resistance is inversely proportional to
#Mann_Ki_Nahi_Student_Ki_Baat #StudentsDislikePMModi… https://t.co/qqhiBkS9k7",India
DrHritik,"This is alarming message for @PMOIndia. Democracy Is alive, Say No to Dictatorship on Students.… https://t.co/eVZ3CwiWCR","Mumbai, India"
nithinpolo,"Preparation is going for #JEENEET 
#JEEMain examinations but, if any student is effected to corona in this time how… https://t.co/y2LL3TgRTU",
studyfalcon,"Africa now Wild Polio free !!
#polio #WildAtlanticWay #wildpoliofree #africa #kenya #nigeria #Zimbabwe #BlackAdam… https://t.co/2rXvz8rEmj",New Delhi
Bindian1947,@PandeyBasanti @ANI #JEENEET wale bacche kab bangaye they r adults! Moreover I'm criticising govt who has given go-… https://t.co/EtLDKKICvp,"New York, USA"
LoveeshKumar4,"Thank you everyone who supports #JEENEET ASPIRANTS thank you to show us light when it was dark all around.
This sup… https://t.co/H7XdHQeKnh","New Delhi, India"
UroojkhanTOI,Protest by Samajwadi youth wing in Lucknow to postpone the JEE NEET exams this year following pandemic. Over 9.50 l… https://t.co/5WTmSIWo1S,INDIA
8cd929b3d3c6454,"Things PM 
@narendramodi
 did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dog… https://t.co/K85sdwAeuT",Raipur
DevjitMenghani,"A proposal regarding JEE and NEET.

1. Generate a set of courses to be taught to students of 1st semester.
2. Teach… https://t.co/QxtxU6b8VE",
Priyanshu4INC,"Crucial time for #JEENEET exam aspirants.
#StudentsDislikePMModi
#StudentsKeMannKiBaat
#AntiStudentModiGovt… https://t.co/VckWvX1NOQ","New Delhi, India "
MasudAhmedTaha,"Most dislikes on modi's monthly #MannKiBaat on YouTube. 

BJP &amp; BHAKTs : Act of GOD

#StudentsDislikePMModi… https://t.co/qTmkGCpYrK", India
govindagopala,"@Swamy39 On one hand people are allowed to do processions, with no risk of Corona. But if #JEENEET exams are held w… https://t.co/wKxTyCIJBm","Sydney, Australia"
akhildvnn,Members of Samajwadi Party Chatra Sabha (student wing) lathicharged in Lucknow as they hold protest against… https://t.co/ha70HUFWHd,Barabanki Lucknow UP
RaRaRasputin21,Soviet' s National anthem will be played here if there is any news about postponement!… https://t.co/CCtqqLrrOO,"Chernobyl, Pripyat"
anarchistPandey,"#PmModiPrideOfIndia is trending.

Meanwhile SSC, RAILWAY &amp; #JEENEET students 👇🏼👇🏼👇🏼 https://t.co/gdIryYdzwK",हमेशा ट्विटर पर🙄🙄
HrishiDamodar,India registered HIGHEST EVER one day spike in Covid-19 cases in the world for 2nd day straight yesterday. But our… https://t.co/IPAZ8IjMTQ,lndia
paavambitch,"@Memeghnad Final year students too!!!
I'm surprised NONE of y'all is talking about final years. Our exams are manda… https://t.co/p0JGTvD4BF","Hyderabad, India"
RKSridhar4455,If the the CMs do not invoke DMA for the students in the NEET/JEE exam matter then they are not for students but fo… https://t.co/1z6UTMXL7v,Bengaluru
Vijay9990999,Student can request a ride to the exam centre by submitting and filling up following details Name and contact detai… https://t.co/YNVuecvFhl,"Hyderabad, India"
Sjsurya48773435,"@ndtv This is racism 
Is this a hitler government 
#postponeNEETandJEE 
#ProtestAgainstExamsInCOVID 
#NEET2020 
#JEENEET",
__sai_vikram__,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/8nPyUXilT1","Hyderabad, India"
Mr_AnonymousX1,"@kitaab31 @IndiaAheadNews 63% citizens are in favor of NEET JEE in September !!!

These 40 y/o plus citizens should… https://t.co/lbvf3b1sAS","Bhubaneshwar , 🇮🇳 "
SauravRajput29,"If exam doesn't get cancelled,you failed as a pm to us students @PMOIndia @narendramodi @narendramodi @DrRPNishank… https://t.co/7wHjRp0K2w","Kolkata, India"
HoneyGup,"#StudentsDislikePMModi
#JEENEET students giving examination
#Coronavirus be like: https://t.co/9OvaB7lx6B","झांसी, भारत"
Crazyprasad5,"Pls Help me

🔥Get 100% #FollowBack 

#AmitShah #NoMore_Neet #TwitterAddDislikeOption #StudentsDislikePMModi #onam… https://t.co/s1yNiIXVoe",
Nup_6,"Secretary secretary :(
@DrRPNishank @Swamy39 
#postponeNEETandJEE 
#Mann_Ki_Nahi_Student_Ki_Baat 
#JEENEET https://t.co/0HkFLWvi7i",
KartikK67352081,"If any student get infected while #jeeneet exam, PM should resign
#Mann_Ki_Nahi_Student_Ki_Baat 
#StudentsHatesMrModi",
YahooIndia,"After Odisha, Chhattisgarh, MP government to provide free travel for NEET, JEE candidates

https://t.co/AF9ON335Hn… https://t.co/3mtU1KBGhr",World Wide Web
iamsirgoyal,Political parties doing politics on #JEENEET is understood. Sudents indulging in left vs right politics is sad. I m… https://t.co/MEagp3NZJB,"Gujarat, India"
AdityaSwader,"result of forcefully taking exams #finalyearexams  not posphoning the #JEENEET 
Total cases
3.62M corona cases https://t.co/Ul1rDZU4uZ",Kolhapur
Prateek19365516,"#StudentsDislikePMModi
#postponeNEETandJEE 
#JEENEET 

I m doing hard work for jee neet postponed 🙏🏻
Please support… https://t.co/s1NhigI2gk","Mathura, India"
donkuldeep007,"all right then postpone #JEENEET Till diwali....
@Swamy39 
@ishkarnBHANDARI 
@DrRPNishank 
@drharshvardhan… https://t.co/4Vfbix1qkv",India
dhritihazarika1,"If you won't acknowledge our problems then don't come to us for our votes.
All the best everyone for your exams.… https://t.co/yJFIrAYQ6j",Mumbai
Prof_hicks,"What happened to meeting that @INCIndia chief Sonia Gandhi did to boycott this exam, looks like everyone does total… https://t.co/Yhhekz3FYm","Union, NJ"
Rishabh38230786,"#JEENEET #RIP_POKHRIYAL  #Mann_Ki_Nahi_Student_Ki_Baat  #StudentsHatesMrModi  #POSTPONEJEE_NEET .... 

Answer this… https://t.co/QgU0wrbjfQ",
JeeStudents,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/0Cu4d5IDJP",
yashita_trivedi,"Isn't it unethical risking so many lives,  and health of not one or two but all the student appearing for #JEENEET.… https://t.co/oxDasIF2N9",
SwatKat77,"300 to reach 10,000 Followers

Pls Help me

🔥Get 100% #FollowBack 

#AmitShah #NoMore_Neet #TwitterAddDislikeOption… https://t.co/d3XfaPIK9h",Bharat
Juhi_Khaitan,"Some of the opposition parties using the whole exam crisis, the most critical situation rn for mere earning brownie… https://t.co/z82I0x9agH",भारत = India
RajendraMeenaMS,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/t7itMI1oC6","Karauli, India"
shriadi1188,Any student whose exam center is in chandigarh can stay at my room free of cost. This is the least I can do for you… https://t.co/Jv5CBHq2Fh,chandigarh
bajaosingh,@ndtv Good Job 👍👍👏👏@Uppolice @CMOfficeUP Those Part of JNU Azaadi &amp; Shaheen gangs now translocated to Lucknow r in… https://t.co/baOdiUs0oU,Delhi
NikhilIsaac1,i hope this same level of preperation is in every centre. best of luck to everyone😎 #JEENEET https://t.co/APINEx1E31,"Nagpur, India"
lagankhandelwal,"@LicypriyaK Can we try to file a new petition for NEET BCOZ IT IS A SINGLE SHIFT EXAM WITH 17lakhs studnets. 
We ca… https://t.co/Yf6FdC7n1c",
TheReadIndian,"The future is at stake, but what about the present?  #JEENEET #postponeNEETandJEE",Pune
poddarmihir,In midst of this pandemic government is eager to risk student's life by giving nod to conduct #JEENEET examination.… https://t.co/bRHoFkhWub,"New Delhi, India"
Susmita12281638,"Respected,
@Naveen_Odisha @BanglarGorboMB @HemantSorenJMM @ArvindKejriwal @CMOMaharashtra 
Today please show your p… https://t.co/L7wWYGhec1",
Bhoopes87189587,"#StudentsDislikePMModi 
This is the digital strike by #JEENEET and #SpeakUpForSSCRailwaysStudents . Kuch Karo modi… https://t.co/WN6kX0fbiT",Basti
moonxhal0,"life is not a fairytale. stop waiting for miracles. 
@PMOIndia @DrRPNishank if we are going to write #JEENEET as pe… https://t.co/VHaaihSzXy",
SHUBHAMGUHA1998,I'm not understanding why Students should give SelfDeclaration before giving #JEENEET Exam of their Health and Trav… https://t.co/3BEddOJTsZ,
prashant778866,"#आ_रही_है_बेरोजगारो_की_सवारी
We want recruitment process to be as smooth as that of Loksabha election.… https://t.co/rRyfwUyXix",
nuclear_jarhead,Sooo I have my JEE exam in 4 days and I am not sure whether I'd die of low grades ke disappointment or COVID cos BR… https://t.co/vyFXfLAbQX,"New Delhi, India"
rishu717,"🤣🤣

Power of Youth

#JEENEET 
#Mann_Ki_Nahi_Student_Ki_Baat https://t.co/uYJuJlCZdT","New Delhi, India"
every_one_equal,#Mann_Ki_Nahi_Student_Ki_Baat #mannkibaadislikesadak3 #Fakuchand The Power Youth /Studen #JEENEET #StudentsHatesMrModi #AntiStudentsBJP,
dhritihazarika1,Right now lakhs of students are being forced to appear for an OFFLINE exam which is going to decide their FUTURE in… https://t.co/3F6kaBhiCx,Mumbai
singhjiiee,"While we are sitting in front of TV to hear the news of cancellation of #JEENEET exam by @DrRPNishank 
Thoughts run… https://t.co/BzOcJbt4NK",samastipur
Kavya29308877,@swamiji did u get any information on postponement of #JEENEET  .pls  sir 🙏🙏🙏,
sachinraj907,@CMMadhyaPradesh @ChouhanShivraj Sir please help in #JEENEET postpone as I belong from M.P. #StudentsLivesMatters #ihoik,
Nischal_JAIHIND,"GO AND DISLIKE LET'S SEE HOW LONG CAN PM IGNORE US!! Let's TAKE THE FIGHT TO MODI IF MODI DOESN'T COME TO FIGHT

DI… https://t.co/iqydGGjIV0",
Utsavya01075817,"https://t.co/YpRKeQ8WYr
Pls donate as much as u can and help those students who don’t have transportation facilitie… https://t.co/GfpGp0u17S","Rewari, India"
JournoAshutosh,"I want to connect students from many states appearing for #JEENEET 
Drop me your contact details","New Delhi, India"
ShahRashi09,"First day first show, pray for me 🙏 #JEENEET #ModijiJhootMatBolo #RIP_POKHRIYAL https://t.co/9WAn8JW49S",
Aarvi_Anya,"So the government is all set to take #JEENEET despite of so many requests by the students and their parents.
Democr… https://t.co/cyk2qBvAcT",
MohitCh84274351,"#hpuniversity I am again TWEET . Kyu sirf #JEENEET KA students ke bat ho rahe, hum anticorona ha kya? Hpu Universit… https://t.co/sYQPdthJE6",
rohithhh12,"If @Swamy39 ji somehow manages to change modi's mind and #JEENEET will get postponed,
#NoMore_Neet… https://t.co/37xSkMXmLu","Hyderabd, India"
DikshaMhatre3,@CMOMaharashtra @Maha_MEDD Sir please speak up for us plzzzz don't ignore us plz postpone #JEENEET  everyone ignori… https://t.co/SwTDnxnf1m,
Ammy74424788,"@capt_amarinder Sir g plz🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻🙏🏻
Impose DMA #JEENEET",
LovKapz,"#JEENEET All dear students, this is if you cannot attend exam don’t worry you can attempt next time but don’t do su… https://t.co/HOuzCysju7",On Earth
trooper_501st,"Tbh Supreme Court is not even Re1 worth

So now one cannot criticize the judges ?? Or else they will punish us in t… https://t.co/99B3x6Wntc",India
ikashyap_,@Swamy39 Neither Prime Minister Modi nor any other minister pays attention to your external tweet. You have continu… https://t.co/0lPBVjxqtV,"New Delhi,Jehanabad India "
DrTushar49,"@narendramodi 
@PMOIndia 
sir please #POSTPONEJEE_NEET sir please
all indian want exam to be postponed
#JEENEET 
pl… https://t.co/N8YXjiRlBb",Himachal pradesh distt. kangra
thesudhirgarg,"There is difference between अनुरोध करना और उत्तरदायित्व लेना @DrRPNishank

If you can't take ownership of safety of… https://t.co/Q4BPBJikXe","Gurgaon, India"
Dinesh49358833,@Swamy39 How can I write a tetter to president of india online any one pls help to write regarding postpone #JEENEET  exams,
Sonal01371404,@PMOIndia Sir its very good that you are raise such topics even i take care of 6 indian street dogs..but dont you t… https://t.co/gzLpT17MUz,
Varwandkar,"✒️🟩🟨📕
Amidst a lot of confusion and Corona scare, students who are appearing for #JEENEET #CLAT are bound to be sup… https://t.co/vKNdY68Co2",India
rohithhh12,"#JEENEET aspirants who are against postponement.
#NoMore_Neet
 #StudentsDislikePMModi https://t.co/awmcYEbWkK","Hyderabd, India"
_Crypto_papa,"#JEEMain2020 Exams From Tuesday - Here's List Of Items Allowed &amp; Prohibited Inside Examination Hall #JEENEET 

Deta… https://t.co/J9ZvkikYV2",
DiyaaaV,Situation handling by parents right now during online classes 😝 #zoomclasscodes #MicrosoftTeams @narendramodi… https://t.co/kZgqG5e63f,
DRHEMA30041632,"@bbnnewshyd Dear @Swamy39 
If you get a Call Back, Change the Exam Date.
If you dont get, Change the PM. Enough is… https://t.co/KMM8vXrjDD",
Ayankhan__19,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/kVlP8Aw5Qp",
SoumyajitHait2,@MamataOfficial pplease use your state power to postpone #JEENEET #StudentsDislikePMModi,
Prateek19365516,"#StudentsDislikePMModi
#postponeNEETandJEE #JEENEET #ModijiJhootMatBolo #StudentsLivesMatters… https://t.co/e0oZcjLVrb","Mathura, India"
SanjuSaurav,@DrRPNishank and @PMOIndia is responsible for every student who gets infected after being forced to attend the… https://t.co/0X7V3k5ms6,Kota
bhanusingh_1997,@Mayawati What about #JEENEET,"उत्तर प्रदेश, भारत"
AmartyVats,@dhruv14x @RaMoSirOfficial @GaganPratapMath @qmaths_in My reference is for #JEENEET . Why students are not demandin… https://t.co/loWN4QwduZ,"Hajipur, India"
AjayPar88136656,"India ,let’s do a voting for this , Kya abhi NEET &amp; JEE ka exam hona chahiye. ??? jai hind 🇮🇳

#StudentsHatesMrModi… https://t.co/9QNLUiTBPH",
margdarshak4,Practicing and solving mock tests gives an edge during the actual exam by helping you with you with the preparation… https://t.co/6TGFBpcyT2,
UnionOfBharat,Students are a laboratory for the gov. The government wants to show the world that the #Coronavirus is under contro… https://t.co/eJ5mkW2zvl,
AmanKum23630122,"#Majority don't want exams to be #postponed. 
#JEENEET https://t.co/bTqevjevu5",
Haris65446172,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/1QtKI2W6ET","Jammu, Jammu And Kashmir"
smastrophysics,@DrRPNishank and @PMOIndia is responsible for every student who gets infected after being forced to attend the… https://t.co/ObkU3yKPMy,
YahooIndia,"Activist Licypriya Kangujam Leads Online Appeal to Postpone NEET, JEE Exams Due to COVID-19… https://t.co/dgmaUM8y2i",World Wide Web
ToooOpinionated,"Can't go out for #JEENEET because it is unsafe due to #COVID19, but it is safe to gather and protest against it.

S… https://t.co/ONGeGLyx9a",भारत
skphotography68,Members of Samajwadi Party Chatra Sabha (student wing) lathicharged in Lucknow as they hold protest against… https://t.co/lgFIrBqzX6,Lucknow 
Garima42391844,"Relatable
@narendramodi 
@PMOIndia 
@Swamy39 
#PostponeJEEAndNEET 
#Mann_Ki_Nahi_Student_Ki_Baat 
#RIP_POKHRIYAL… https://t.co/5qwTmYL0q6",
KhushalAAP,"Who will be responsible In Delhi if a single student Die bcz of NEET n JEE? 
LIKE… https://t.co/pqMnZRaTlH","Gurgaon, India"
Shubham25520477,"Conducting #JEENEET amidst pandemic is a worst step taken by the 
@EduMinOfIndia
 and they should keep in their min… https://t.co/7h0rRL5Zjl",Sasaram 
LogicalThat,@guptar @nsui Mam i totally understand that but mam exams like #jeeneet should be conducted at once so there seems… https://t.co/kdExwiBTi2,
RASIM87926834,Gandhi ji did this under non cooperation movement to spread his word of Independence.. Let's repeat the history and… https://t.co/vfj0nGsv9y,
Farzi_Jain,"Must Watch😂
🔥JEE &amp; NEET Vines🤣😂😂

Watch- https://t.co/UEhd4VCD8a

#ModijiJhootMatBolo #StudentsHatesMrModi… https://t.co/rjTGMfZNsn",
adisumedh,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/cvH4NdzQhW",Maharashtra
AdityaR71373960,"You can go to dominos with your friends is okay in these times, there is no risk in roaming around but when it come… https://t.co/inN1wNC8YX","Gwalior, India"
ZiaHaiderNaqvi5,Conducting #JEENEET amidst pandemic is a worst step taken by the @EduMinOfIndia and they should keep in their mind… https://t.co/0WuXQz02T3,
fuckabdul,"epic bruh moment
#JEENEET
#brownsupremecy https://t.co/QZwRI5unKm",hyd 
PioneerRaipur,"CM tells Collectors to ensure free transport to JEE, NEET aspirants
@bhupeshbaghel
@ChhattisgarhCMO
@IASassociation… https://t.co/3RgC5ji1yG",Raipur
KhulbeSuraj,"What everyone  is missing from 'Astrologer Nishank':

""Only 3.86 lacs (15 %) out of 25.5 lacs students have dislike… https://t.co/0MLrIa8G7B","New Delhi, India"
aastha9996,"#JEENEET  Students are not against Exams.
 It’s just that the timing is not right.

 It's a matter of their Entire… https://t.co/guCaZhoz7s","Shimla, Himachal Pradesh"
belalMirza0,"10 months earlier 
When AMU JMI student was against this fascist gov. these #JEENEET wale Students was like ""Yaar y… https://t.co/0kHTxkakND","Zamania Ghazipur, India"
knowabhilash,Then wicked students who are supposed to be the future of india were laughing at police brutality on JNU .. Jamia .… https://t.co/XPfnNnkeBo,"Bengaluru, Karnataka"
RaRaRasputin21,"I bet @TheScreenPatti's ""Rabish ki report"" portraying @ravishndtv will come up with a new episode which will portra… https://t.co/Ap2dwMmy0a","Chernobyl, Pripyat"
DRHEMA30041632,"@Xyz42661917 There should be a Govt first, we dont see a Govt as of now. We only see people feeding Peacocks, talki… https://t.co/wP6oMnuPwJ",
BharatMahour,All these exams were due in September but not now because there is corona but there is no corona for #JEENEET… https://t.co/BpAzWpZOV7,"New Delhi, India"
Gayatri03267427,@MamataOfficial @MamataOfficial WHAT ABOUT THE POSTPONEMENT NEWS #JEENEET,India
mohit_hsgandhi,@LiveLawIndia This is the reason for the Congress @INCIndia getting decimated in elections. Congress portrayed as i… https://t.co/2zAgIehbmz,
Mariappan0487,"You will get news about questioning opposition parties, Mumbai police and supporting articles for Kangana in… https://t.co/kwpXJKf8MA",🇮🇳
parinitakashya3,"Things PM @narendramodi
 did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/dTAqAJZNhO","agia,goalpara,assam"
Himankcr7,"@Swamy39
Every exam can postpone
Bt why nt ONLY #JEENEET 
@VKVishnoi2 @jagdishshetty @nidhiindiatv @OfficeofUT… https://t.co/2MWvdm36iz","नवी मुंबई, भारत"
sachin_aspirant,"@BajpayeeManoj @RajkummarRao Can you help on #JEENEET 
Issue 

(Happy Wala birthday sir🎉🎈🎈🎉🎉🎈🥳🍰🍰🎂🎈🎉🎉🎂🧁🧁🧁🎁🎉)",
fullmoon1509,"@Swamy39 sir please about #JEENEET , we r depressed now very much ..the china matter is handled bt the internal matter is very tensed",varanasi
Military_Mantra,"Meanwhile NDA, CDS, CAPF, SSB aspirants:

#StudentsDislikePMModi
#SpeakUpForSSCRailwayStudents
#SSCdeclareCGLresult… https://t.co/QHMuR7Jecf",
VibhorVikram,"@Swamy39 Sir any update regarding #JEENEET please sir.... 
No notification from sate gov.. 
Neither WB nor Odissa... 
Sir please update",Moradabad
PriyaSi07039679,@Swamy39 sir wht is the hope for postponement of #JEENEET exam....is there any hope left for today🤔🤔,
NikithaYadav16,"🙃ATTENTION,please vote on this you guys, to show the govt how seriously we're taking it
PLEASE VOTE. THANKYOU.… https://t.co/pHRCAIGRIx",
tanuj1290,"RECORD OF DISLIKE TOWARDS MAN KI BAAT ON 30th AUG.

@narendramodi @AmitShah 

BY #JEENEET ASPIRANTS. https://t.co/Z4aeTs5WPo",Gaya
Vedprakash_9968,"@ashokgehlot51
 
@RPSC1
 
@AcfRpsc
 
@GovindDotasra
 
@sanket
 
@zeerajasthan_
 
@1stIndiaNews
 
@ravishndtv… https://t.co/4ZtSO19krG",
AISA_tweets,"Things PM @narendramodi did in the last few days

1- Dancing with &amp; feeding peacocks
2- Adopt Indian Breed of Dogs… https://t.co/nYr02ZZhwC",India
RajeshMishraIND,"Will WB govt @MamataOfficial &amp; Odisha govt @Naveen_Odisha will follow this ?
State ppls will get the benefit… https://t.co/Ixl8soc5fF",माँ भारती का संतान 
Farmaan007,"#StudentsDislikePMModi

Feel sorry for #JEENEET students. https://t.co/mW6YWsHt9V",India
FaijanAalam,"Ar Kr Lo #MannKiBaat 
Public Don't want to Listen Kutta Billi #AndhBhakt Paalo
They Want To Listen About #COVID19… https://t.co/XoAaO9DQDw",Auraiya
kernelXNU,@smitaprakash How many of these junk holes are appearing for #JEENEET,
DiptanshuBhatt3,@DrRPNishank @HindustanTimes @narendramodi @AmitShah @PMOIndia @HMOIndia @transformIndia @mygovindia @PIB_India… https://t.co/xQbaGH3YCu,"West Bengal, India"
brahmankachoraa,"Pm Modi's Video Dislike not only by #JEENEET Students but also because
#START_ALP_TRAINING #SpeakUpForSSCRailwaysStudents",हिन्दुस्तान
Likith91236620,@Swamy39 Sir what about #JEENEET,warangal
Mohith53657432,"Do u think Einstein would have been the person he is, if he were to b born in india. No, right? That's the backdrop… https://t.co/BU0xOvfGfh","Bengaluru, India"
de_shetty,"so now every reason available to postpone JEE NEET, health minister says corona under control by Diwali, academic c… https://t.co/oBoGRWkvxR",Udupi Karnataka India
kalpeshexo21,"@hexanovate Personality and mind is build in the surrounding you live👍
Chose your community wisely. 
Blind trust is… https://t.co/LKua8Uj2n8","Jalgaon, Maharashtra, India"
Monisha73701662,@ArvindChaturved @Swamy39 @vhsindia Guys I think he is talking abt the motivation video by @Swamy39 ji to #JEENEET… https://t.co/Ag9eYo7lyK,
IndPatriot1,@Swamy39 Is it true that hefty amounts have been paid by education mafia/ mega tuition centre chains as bribes to B… https://t.co/0gUmo9GJ6R,
yesimbihari22,"Dress code for #JEENEET 

1. Light clothes with long sleeves not permitted. 
2. Shoes Not allowed . 

Meanwhile Stu… https://t.co/WTcqeRr1l2",India
hemirdesai,"@jagdishshetty @mm_0774 @Swamy39 @PMOIndia @narendramodi @LoksattaLive If you want to postpone #JEENEET
Just becaus… https://t.co/LK3reJNx6l","Valsad, Gujarat, India"
DRHEMA30041632,@PrakashChakra Let the Republic Follow this Chakraborty...   #Modi #BJP #India. #MannKiBaat #NEET2020 #JEENEET… https://t.co/6pPYoH1wbN,
BeingAnkur5,"@narendramodi I hope that during election, census is released instead of the the election result. In Mann ki baat y… https://t.co/9yYLMwEWNa",mumbai
sachin_aspirant,"I hope my pm will help me on #JEENEET issue
@narendramodi",
ChefRicky12345,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/VMkwrjhexN","Kolkata, India"
KoyadSurendra,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/Pjq875zLdT","Mathura, India"
KukiMax_MUFC,"Since Sushant's death on June 14th

- 53000 corona deaths
- 31 lakh corona cases
- GDP growth -ve
- 150 million job… https://t.co/Yb9B1W316L","Noida, NCR, India"
CerealKillerAsh,"Dress code for #JEENEET 

1. Light clothes with long sleeves not permitted. 
2. Shoes Not allowed . 

Meanwhile Stu… https://t.co/cDPdZxmYhd","Bidar, India"
isha_sethi_,"@Swamy39 @Dharma2X Not just maybe sir, DEFINITELY it will be!! because the more ppl come in contact with each other… https://t.co/kmXs2qO7Fi",India
DRHEMA30041632,"@narendramodi PM Extends Greetings on ONAM, 
CORONA Extends Greetings on EXAM. 
Students and Parents in Mental Pain… https://t.co/IzFurEAZ66",
PoisedonG,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/4AYt5JeWqE",
AntikaMukherjee,"https://t.co/lfT4qKrjD8

Dislike, comment and share with your family and friends, asking them to do the same! 🤟… https://t.co/rCcMNCQmXT",কলকাতা
vpmedia4,@CMOTamilNadu Postpone #jeeneet pls support do something sir pls i beg you,
GeetanjaliResi1,"#Patanjali University builder illegally blocked #SeniorCitizen houses.
Frequent water logging made their life vulne… https://t.co/G5hovh1DMR","Haridwar, India"
saurabh_yadav17,"80000 corona cases yesterday but students will have to sit for #JEENEET 

Why?

Because Education Minister's only c… https://t.co/NE7VlKKl7r","Uttar Pradesh, India"
SanjayS74647588,@SonuSood Hello sir please help #JEENEET  students. THEY ARE WORRIED ABOUT TOMORROW. They don't want to die due to… https://t.co/Txd4ogTwXp,
___ASHISH__,"SEE THESE #Modi ONLY THINK ABOUT MONEY NOT FOR STUDENT OR ANY CITIZEN 
No one Care about #JEENEET students.
No one… https://t.co/AOw4t3jkJd",India
NandanS90641836,"@NandanS90641836 
We need ""students pe charcha""
But the Pm did ""khilone pe charcha""
Aisa kaise chalega...
#PMOIndia… https://t.co/njks8vkt6j",
HaleemNajma,"Modi has failed the country, its people, its departments and even students.
#StudentsDislikePMModi
#NoMore_Neet… https://t.co/dJQUxc6QKe",Hyderabad
sunilyadav5527,"#StudentsDislikePMModi
@DrJitendraSingh @narendramodi_in 
@DoPTGoI 
Is this true? #JEENEET
#SSCdeclareCGLresult… https://t.co/Z7csEUXN1U","Ara, India"
RightWing_India,"I just want to understand if government postponed #JEENEET then when it should be held.
How can student want to loo… https://t.co/GiMI4i4Czz",India
